Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes For Labor Org3,Labor Org3
"20, 37",20-RC-317271,,"KQED, INC.",RC,San Francisco,CA,5/31/2023,35,1,24,"Screen Actors Guild/American Federation of Television and Radio Artists, AFL-CIO (SAG-AFTRA)",Stipulated,,LOSS,7/28/2023,Certification of Results,,,,,
"20, 37",20-RC-317389,,"XPRIT Restaurant Group, LLC",RC,Wailea,HI,6/9/2023,52,24,17,"International Longshore and Warehouse Union, Local 142",Stipulated,,LOSS,6/23/2023,Certification of Results,,,,,
"20, 37",20-RC-317817,,Satellite Healthcare Rohnert Park,RC,Rohnert Park,CA,6/20/2023,20,0,17,"Service Employees International Union, United Healthcare Workers - West",Stipulated,WON,,8/2/2023,Certific. of Representative,,,,,
"20, 37",20-RC-318073,,Sutter Health Pacific dba Kahi Mohala,RC,Ewa Beach,HI,6/20/2023,42,4,32,"Hawaii Nurses` Association, OPEIU Local 50",Stipulated,WON,,7/17/2023,Certific. of Representative,,,,,
"20, 37",20-RC-318524,,Public Library of Science,RC,San Francisco,CA,6/20/2023,35,5,26,Pacific Media Workers Guild TNG-CWA Local 39521,Stipulated,WON,,9/11/2023,Certific. of Representative,,,,,
"20, 37",20-RC-319027,,Sutter Valley Hospitals dba Sutter Roseville Medical Center,RC,Roseville,CA,7/17/2023,89,47,33,"Service Employees International Union, United Healthcare Workers - West",Stipulated,,LOSS,8/25/2023,Certification of Results,,,,,
"20, 37",20-RC-319468,,Capital Rock LLC,RC,Sheridan,CA,7/14/2023,9,4,4,OPERATING ENGINEERS LOCAL UNION 3,Stipulated,,LOSS,8/3/2023,Certification of Results,,,,,
"20, 37",20-RC-319669,,Rivertech LLC,RC,Travis Afb,CA,7/7/2023,4,0,3,International Association of Machinists and Aerospace Workers District Lodge 725,Stipulated,WON,,8/21/2023,Certific. of Representative,,,,,
"20, 37",20-RC-320499,,"CBRE, Inc.",RC,Brisbane,CA,7/28/2023,7,0,6,"International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",Stipulated,WON,,8/21/2023,Certific. of Representative,,,,,
"20, 37",20-RC-321152,,Starbucks Corporation,RC,San Francisco,CA,8/11/2023,20,5,13,Workers United,Stipulated,WON,,8/25/2023,Certific. of Representative,,,,,
"20, 37",20-RC-321767,,"Tyonek Services Group, Inc.",RC,Mather,CA,8/14/2023,8,1,4,International Association of Machinists and Aerospace Workers District Lodge 725,Stipulated,WON,,9/27/2023,Certific. of Representative,,,,,
"20, 37",20-RC-321783,,Sutter Valley Hospitals dba Sutter Davis Hospital,RC,Davis,CA,8/23/2023,245,98,120,California Nurses Association (CNA),Stipulated,WON,,9/21/2023,Certific. of Representative,,,,,
"20, 37",20-RC-321797,,"ABM Industry Groups, LLC",RC,Redwood City,CA,8/14/2023,7,5,2,"ABM Industry Groups, LLC",Stipulated,,LOSS,8/31/2023,Certification of Results,,,,,
"20, 37",20-RC-322907,,"St. Joseph Health Northern California, LLC, d/b/a Providence Queen of the Valley Medical Center",RC,Napa,CA,9/7/2023,3,0,3,"International Union of Operating Engineers, Stationary Engineers, Local 39",Stipulated,WON,,9/27/2023,Certific. of Representative,,,,,
"20, 37",20-RD-306403,,"Charter Communications, Inc. dba Spectrum",RD,Hilo,HI,12/15/2022,27,25,1,"Hawaii Teamsters & Allied Workers, Local 996",Stipulated,,LOSS,12/30/2022,Certification of Results,,,,,
"20, 37",20-RD-306999,,Felton Institute d/b/a Family Service Agency of San Francisco,RD,San Francisco,CA,12/19/2022,6,4,0,SEIU Local 1021,Stipulated,,LOSS,1/18/2023,Certification of Results,,,,,
"20, 37",20-RD-307784,,Jelly Belly Candy Company,RD,Fairfield,CA,1/13/2023,220,49,153,"Bakery, Confectionary, Tobacco Workers and Grain Workers, Local 125",Stipulated,WON,,1/24/2023,Certific. of Representative,,,,,
"20, 37",20-RD-312043,,Enterprise Development Authority d/b/a Hard Rock Hotel & Casino Sacramento at Fire Mountain,RD,Wheatland,CA,3/15/2023,10,7,0,"IUOE Stationary Engineers, Local 39",Stipulated,,LOSS,3/23/2023,Certification of Results,,,,,
"20, 37",20-RD-322692,,"Charter Communications Operating, LLC",RD,Lihue,HI,9/6/2023,28,15,10,International Brotherhood of Electrical Workers Local Union 1186,Stipulated,,LOSS,9/20/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-289115,,"STG Cartage, LLC d/b/a XPO Logistics",RC,Los Angeles,CA,6/23/2022,299,165,76,"Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers, Teamsters Local 848, International Brotherhood of Teamsters",Directed,,LOSS,5/2/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-294131,,CVS Pharmacy,RC,Santa Ana,CA,9/30/2022,2,0,2,"UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 324, AFL-CIO",Directed,WON,,11/1/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-294458,,"Garfield Beach CVS, LLC dba CVS Pharmacy",RC,Calexico,CA,9/30/2022,17,3,8,"UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 1167, AFL-CIO",Directed,WON,,11/1/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-298400,,"Global Auto Logistics, LLC",RC,El Cajon,CA,8/1/2022,3,0,3,"Salesdrivers, Helpers and Dairy Employees, Teamsters Local 683, International Brotherhood of Teamsters",Stipulated,WON,,3/29/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-300023,,"Medieval Knights, LLC",RC,Buena Park,CA,11/10/2022,49,18,27,American Guild of Variety Artists,Directed,WON,,11/23/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-300364,,"Adams Communication & Engineering Technology, Inc.",RC,Coronado,CA,11/18/2022,12,8,1,"International Association of machinists & Aerospace Workers, District lodge 725, AFL-CIO",Directed,,LOSS,12/21/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-301029,,"Lucid Group USA, Inc.",RC,San Diego,CA,9/13/2022,9,6,1,"UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 135, AFL-CIO",Stipulated,,LOSS,10/13/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-301101,,"Northgate Gonzalez Markets, Inc.",RC,San Diego,CA,6/20/2023,24,23,0,"United Food and Commercial Workers, Local 135, International Union, AFL-CIO",Directed,,LOSS,6/29/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-302062,,"Allied Waste Transportation, Inc., d/b/a Allied Waste Services of Imperial/Republic Services of Impe",RC,Imperial,CA,9/30/2022,38,15,11,"Teamsters, Chauffeurs, Warehousemen & Helpers Local Union No. 542, International Brotherhood of Teamsters",Stipulated,,LOSS,11/4/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-302203,,Vopak Terminal Long Beach Inc.,RC,Long Beach,CA,9/16/2022,11,1,7,"Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Warehouse, Sales Industrial and Allied Workers Union Local 848, International Brotherhood of Teamsters",Stipulated,WON,,10/19/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-303407,,"Imperial Landfill, Inc.",RC,Imperial,CA,10/14/2022,8,6,1,"Teamsters, Chauffeurs, Warehousemen & Helpers Local Union No. 542, International Brotherhood of Teamsters",Stipulated,,LOSS,11/17/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-303550,,"Keck Medical Center of USC, Inc.",RC,Los Angeles,CA,5/17/2023,20,5,14,National Union of Healthcare Workers (NUHW),Directed,WON,,5/31/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-304659,,"Rhino California, LLC",RC,San Diego,CA,11/9/2022,295,121,54,IATSE LOCAL 122,Stipulated,,LOSS,12/13/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-304872,,"BAE Systems Technology Solutions & Services, Inc.",RC,San Diego,CA,11/10/2022,28,9,3,"International Association of machinists & Aerospace Workers, District lodge 725, AFL-CIO",Stipulated,,LOSS,12/13/2022,Certification of Results,,,,,
"21, 21 SDO",21-RC-304915,,SPIN,RC,La Jolla,CA,11/3/2022,19,0,15,"Teamsters, Chauffeurs, Warehousemen & Helpers Local Union No. 542, International Brotherhood of Teamsters",Stipulated,WON,,11/16/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-306513,,"Prime Healthcare Anaheim, LLC d/b/a West Anaheim Medical Center",RC,Anaheim,CA,12/19/2022,186,17,124,National Union of Healthcare Workers (NUHW),Stipulated,WON,,12/30/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-307231,,"Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences, a division of the University of South",RC,Los Angeles,CA,12/21/2022,15,3,10,National Union of Healthcare Workers (NUHW),Stipulated,WON,,12/30/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-307623,,Sharp Grossmont Hospital,RC,La Mesa,CA,2/3/2023,1459,577,720,"Service Employees International Union, United Healthcare Workers-West",Stipulated,WON,,6/14/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-307924,,"Lead Star Security, Inc.",RC,Holtville,CA,12/30/2022,30,0,13,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,1/26/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-309082,,Starbucks Corporation,RC,Riverside,CA,1/24/2023,26,15,9,Workers United,Stipulated,,LOSS,2/2/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-309180,,"Commerce Distribution Company, LLC",RC,Commerce,CA,2/9/2023,305,93,173,"Food, Industrial & Beverage Warehouse, Driver and Clerical Employees Union, Local 630, International Brotherhood of Teamsters",Stipulated,WON,,2/21/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-309728,,"The Living Desert, d/b/a The Living Desert Zoo and Gardens",RC,Palm Desert,CA,2/9/2023,43,2,28,"American Federation of State, County and Municipal Employees (AFSCME) District Council 36",Stipulated,WON,,2/21/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-309865,,"Tyonek Services Group, Inc.",RC,Los Alamitos,CA,2/1/2023,8,0,4,"International Association of Machinist and Aerospace Workers, District Lodge 725, AFL-CIO",Stipulated,WON,,2/24/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-309912,,"Prime Healthcare Anaheim, LLC d/b/a West Anaheim Medical Center",RC,Anaheim,CA,1/31/2023,3,1,2,National Union of Healthcare Workers (NUHW),Stipulated,WON,,2/10/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-311869,,"Centers for Family Medicine, GP and HealthCare Partners Medical Group, P.C.",RC,Irvine,CA,7/17/2023,43,15,23,Union of American Physicians & Dentists (UAPD),Directed,WON,,8/17/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-311936,,"USC Care Medical Group, Inc.",RC,Los Angeles,CA,4/5/2023,20,4,13,NATIONAL UNION OF HEALTHCARE WORKERS (NUHW),Stipulated,WON,,4/13/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-311951,,Marathon Petroleum Logistics Services LLC,RC,Long Beach,CA,3/16/2023,10,2,8,"International Brotherhood of Electrical Workers, AFL-CIO and C.F.L. Local Number 2295",Stipulated,WON,,3/24/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-312063,,"Emerald Textiles, LLC",RC,Commerce,CA,3/23/2023,22,6,14,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Teamsters Local 986, International Brotherhood of Teamsters",Stipulated,WON,,4/3/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-313318,,Sharp Healthcare dba Sharp HospiceCare,RC,La Mesa,CA,4/11/2023,100,20,60,"Service Employees International Union, United Healthcare Workers - West",Stipulated,WON,,4/20/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-313908,,"KJS Support Service JV, LLC",RC,El Centro Naval Air Facility,CA,4/11/2023,36,6,13,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DISTRICT LODGE 725",Stipulated,WON,,5/11/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-314178,,"Carvana Logistics, LLC",RC,Riverside,CA,4/21/2023,19,6,11,Teamsters Local 63,Stipulated,WON,,5/1/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-314181,,"Newport Meat Southern California, Inc.",RC,Irvine,CA,4/21/2023,78,45,31,"Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers, Teamsters Local 848",Stipulated,,LOSS,5/1/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-315024,,Medieval Times USA Inc. d/b/a Medieval Times Dinner and Tournament,RC,Buena Park,CA,4/26/2023,12,0,11,"International Alliance of Theatrical Stage Employees, Local 504",Stipulated,WON,,5/8/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-315503,,"Smart & Final Logistics, LLC",RC,Riverside,CA,5/18/2023,280,53,180,"Food, Industrial & Beverage Warehouse, Driver and Clerical Employees Union, Local 630, International Brotherhood of Teamsters",Stipulated,WON,,5/31/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-316047,,Starbucks Corporation,RC,Encinitas,CA,5/19/2023,28,2,21,Workers United a/w SEIU,Stipulated,WON,,5/31/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-316330,,"Breakthru Beverage California, LLC",RC,Los Angeles,CA,6/9/2023,49,6,37,"TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN, INDUSTRIAL AND ALLIED WORKERS OF AMERICA, LOCAL 166, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Stipulated,WON,,6/20/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-316509,,Starbucks Corporation,RC,Indio,CA,5/25/2023,24,5,17,Workers United,Directed,WON,,6/5/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-316887,,"Sega of America, Inc.",RC,Irvine,CA,6/16/2023,212,26,91,"Communications Workers of America, District 9, AFL-CIO",Stipulated,WON,,7/19/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-317291,,"Breakthru Beverage California, LLC",RC,Los Angeles,CA,6/15/2023,65,44,14,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166, International Brotherhood of Teamsters",Stipulated,,LOSS,6/27/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-317791,,"Highwood Delivery Services, LLC",RC,Lynwood,CA,6/16/2023,42,14,20,"Food, Industrial & Beverage Warehouse, Driver and Clerical Employees Union Local 630, International Brotherhood of Teamsters",Stipulated,WON,,6/27/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-317855,,"Ryder Transportation Solutions, LLC",RC,San Diego,CA,6/22/2023,11,2,9,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166, International Brotherhood of Teamsters",Stipulated,WON,,7/6/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-318052,,"Ming Entertainment Group, LLC",RC,Irvine,CA,7/3/2023,131,32,38,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States and Canada, AFL-CIO, CLC",Stipulated,WON,,8/15/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-318688,,Medieval Times U.S.A. Inc. D/B/A Medieval Times Dinner and Tournament,RC,Buena Park,CA,6/30/2023,21,10,10,"United Food and Commercial Workers, Local 324, United Food and Commercial Workers International Union, AFL-CIO",Stipulated,,LOSS,7/12/2023,Certification of Results,,,,,
"21, 21 SDO",21-RC-319319,,Kaiser Foundation Hospitals,RC,Moreno Valley,CA,7/12/2023,391,117,125,"Service Employees International Union, Local 121RN",Stipulated,WON,,7/21/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-319692,,Southern California Edison Company,RC,Rosemead,CA,7/13/2023,139,46,69,International Brotherhood of Electrical Workers Local 47,Stipulated,WON,,8/15/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-319943,,Stachs LLC d/b/a Eaze OC,RC,Santa Ana,CA,7/12/2023,62,2,26,"United Food and Commercial Workers Union, Local 324, United Food and Commercial Workers International Union, AFL-CIO",Stipulated,WON,,8/15/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-320120,,Decypher Technologies LTD,RC,San Diego,CA,7/7/2023,6,0,3,"International Association of Machinists and Aerospace Workers, District Lodge 725, AFL-CIO",Stipulated,WON,,8/4/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-320316,,"Transdev Services, Inc.",RC,Los Angeles,CA,7/13/2023,15,1,11,"Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Warehouse, Sales Industrial and Allied Workers Union Local 848, International Brotherhood of Teamsters",Stipulated,WON,,7/21/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-320787,,"Ryder Transportation Solutions, LLC",RC,Commerce,CA,8/18/2023,4,0,2,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166, International Brotherhood of Teamsters",Stipulated,WON,,9/14/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-320799,,Starbucks Corporation,RC,San Diego,CA,8/4/2023,17,2,15,Workers United,Stipulated,WON,,8/15/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-321066,,"It's ABR, Inc.",RC,San Diego,CA,8/9/2023,11,0,9,"Teamsters, Chauffeurs, Warehousemen & Helpers Local Union No. 542, International Brotherhood of Teamsters",Stipulated,WON,,8/17/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-321194,,"Emerald Textiles, LLC",RC,San Diego,CA,8/16/2023,39,5,27,"Salesdrivers, Helpers and Dairy Employees Local 683, International Brotherhood of Teamsters",Stipulated,WON,,8/25/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-321600,,Univar Solutions USA Inc.,RC,Santa Fe Springs,CA,8/16/2023,37,9,27,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986, International Brotherhood of Teamsters",Stipulated,WON,,8/25/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-322375,,"Amentum Services, Inc.",RC,Oceanside,CA,8/9/2023,3,0,3,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DISTRICT LODGE 725",Stipulated,WON,,9/11/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-322688,,"VM Utility Tree Service, LLC",RC,Anaheim,CA,9/6/2023,7,0,7,"International Brotherhood of Electrical Workers, IBEW Local 47",Stipulated,WON,,9/14/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-323597,,Unidine Corporation,RC,Palm Desert,CA,9/13/2023,11,2,8,International Brotherhood of Teamsters Local 1932,Stipulated,WON,,9/22/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-323793,,"Amentum Services, Inc.",RC,San Diego,CA,8/29/2023,3,0,3,"International Association of Machinist and Aerospace Workers, District Lodge 725, AFL-CIO",Stipulated,WON,,9/29/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RC-324463,,MFI Recovery Center,RC,Palm Springs,CA,9/19/2023,30,7,15,Teamsters Local 1932,Stipulated,WON,,9/29/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RD-237218,,Kaiser Foundation Hospitals,RD,MORENO VALLEY,CA,3/29/2019,343,143,118,"SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 121RN",Stipulated,,LOSS,4/28/2023,Certification of Results,,,,,
"21, 21 SDO",21-RD-301965,,Telecare Corporation,RD,Long Beach,CA,10/6/2022,161,37,83,SEIU-UHW (Service Employees International Union - United Healthcare Workers West),Stipulated,WON,,10/19/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RD-304879,,Pitzer College,RD,Claremont,CA,12/9/2022,61,26,28,UNITE HERE Local 11,Stipulated,WON,,12/30/2022,Certific. of Representative,,,,,
"21, 21 SDO",21-RD-309896,,"Veteran Enterprise Technology Services, LLC",RD,San Diego,CA,2/1/2023,24,8,14,"International Association of Machinists District Lodge No. 725, AFL-CIO",Stipulated,WON,,3/10/2023,Certific. of Representative,,,,,
"21, 21 SDO",21-RD-315530,,Marine Spill Response Corporation,RD,San Pedro,CA,5/16/2023,12,6,5,Inland Boatmen's Union of the Pacific,Stipulated,,LOSS,6/16/2023,Certification of Results,,,,,
"21, 21 SDO",21-RD-320225,,"UAG San Diego A1, Inc. D/B/A Kearny Mesa Acura of San Diego",RD,San Diego,CA,9/5/2023,12,7,5,Machinists Automotive Trades District Lodge No. 190 International Association of Machinists and Aerospace Workers,Stipulated,,LOSS,9/14/2023,Certification of Results,,,,,
"21, 21 SDO",21-RD-324746,,RoGar Manufacturing Inc.,RD,El Centro,CA,9/21/2023,8,6,2,"Teamsters, Chauffeurs, Warehousemen and Helpers, Local No. 542, International Brotherhood of Teamsters",Stipulated,,LOSS,9/29/2023,Certification of Results,,,,,
22,22-RC-257765,,CORT Business Services Corporation,RC,North Bergen,NJ,2/22/2023,28,16,8,International Brotherhood of Teamsters Local 814,Stipulated,,LOSS,3/3/2023,Certification of Results,,,,,
22,22-RC-301159,,"Operations Management International, Inc.",RC,Hoboken,NJ,9/21/2022,30,19,9,"LOCAL 1158, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS",Stipulated,,LOSS,10/4/2022,Certification of Results,,,,,
22,22-RC-302790,,"NEW JERSEY COALITION OF AUTOMOTIVE RETAILERS, INC.",RC,Ewing,NJ,10/6/2022,60,27,29,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO",Stipulated,WON,,10/17/2022,Certific. of Representative,,,,,
22,22-RC-305130,,"Prime Healthcare - St. Michael's, LLC d/b/a Saint Michael's Medical Center",RC,Newark,NJ,11/15/2022,30,12,14,Federal Contract Guards of America (FCGOA),Stipulated,WON,,11/29/2022,Certific. of Representative,,,,,
22,22-RC-309946,,MERIDIAN NURSING & REHABILITATION AT OCEAN GROVE,RC,Ocean Grove,NJ,2/21/2023,30,15,7,"LOCAL 262 OF NEW JERSEY RETAIL WHOLESALE DEPARTMENT STORE UNION/UNITED FOOD COMMERCIAL WORKERS UNION, AFL-CIO",Stipulated,,LOSS,3/2/2023,Certification of Results,,,,,
22,22-RC-310086,,Sky Hop Global LLC,RC,Elizabeth,NJ,3/17/2023,7,4,3,"Local 210, I.B.T.",Directed,,LOSS,3/27/2023,Certification of Results,,,,,
22,22-RC-312061,,TRINITAS REGIONAL MEDICAL CENTER,RC,Elizabeth,NJ,3/16/2023,16,2,13,"INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 68, 68A, 68B, 68C, 68D",Stipulated,WON,,3/27/2023,Certific. of Representative,,,,,
22,22-RC-315720,,"BARNES & NOBLE COLLEGE BOOKSELLERS, LLC.",RC,New Brunswick,NJ,5/12/2023,66,0,41,"RETAIL, WHOLESALE AND DEPARTMENT STORE UNION, UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION",Stipulated,WON,,5/23/2023,Certific. of Representative,,,,,
22,22-RC-315805,,"MACY'S CORPORATE SERVICES, LLC",RC,Moonachie,NJ,5/11/2023,22,11,10,"INTERNATIONAL ALLIANCES OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS AND ALLIED CRAFTS OF THE UNITED STATES, ITS TERRITORIES AND CANADA, AFL-CIO",Stipulated,,LOSS,5/23/2023,Certification of Results,,,,,
22,22-RC-316414,,Strivewell,RC,Paterson,NJ,5/18/2023,6,0,3,1199 SEIU United Healthcare Workers East,Stipulated,WON,,6/22/2023,Certific. of Representative,,,,,
22,22-RC-316946,,"Lithia Ramsey-M, LLC d/b/a Mini of Ramsey",RC,Ramsey,NJ,5/19/2023,8,2,4,"UNITED SERVICE WORKERS UNION LOCAL 355, IUJAT",Stipulated,WON,,6/5/2023,Certific. of Representative,,,,,
22,22-RC-317730,,"10 Roads Express, LLC",RC,Phillipsburg,NJ,6/8/2023,11,2,5,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 773",Stipulated,WON,,7/6/2023,Certific. of Representative,,,,,
22,22-RC-318664,,"Lodi Volunteer Ambulance Rescue Squad, Inc.",RC,Lodi,NJ,7/5/2023,13,0,10,International Association of EMT's and Paramedics /NAGE/ SEIU Local 5000,Stipulated,WON,,8/3/2023,Certific. of Representative,,,,,
22,22-RC-320571,,Summit Health Management LLC,RC,Berkeley Heights,NJ,8/10/2023,14,5,8,International Association of Machinists and Aerospace Workers District 15/Local 447,Stipulated,WON,,8/18/2023,Certific. of Representative,,,,,
22,22-RC-321062,,STARBUCKS CORPORATION,RC,Ledgewood,NJ,8/10/2023,26,4,17,WORKERS UNITED A/W SEIU,Stipulated,WON,,8/18/2023,Certific. of Representative,,,,,
22,22-RD-290559,,"M. Chasen & Son, Inc.",RD,Irvington,NJ,6/7/2022,19,4,7,"United Electrical, Radio and Machine Workers of America (UE), Local 155",Directed,WON,,2/14/2023,Certific. of Representative,,,,,
22,22-RD-309128,,"WeDriveU, Inc.",RD,Princeton,NJ,3/9/2023,32,12,13,Amalgamated Transit Union Local 1181,Directed,WON,,4/11/2023,Certific. of Representative,,,,,
22,22-RD-318652,,"ABC Supply Co., Inc.",RD,Avenel,NJ,7/12/2023,39,14,25,"International Brotherhood of Teamsters, Local 560",Stipulated,WON,,8/15/2023,Certific. of Representative,,,,,
22,22-RD-319109,,"CSC HOLDINGS, LLC",RD,Newark,NJ,6/22/2023,41,11,28,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 827",Stipulated,WON,,7/5/2023,Certific. of Representative,,,,,
22,22-RD-319718,,"Maschio's Food Services, Inc.",RD,Chester,NJ,8/28/2023,40,14,22,32BJ SEIU,Directed,WON,,9/7/2023,Certific. of Representative,,,,,
22,22-RD-324107,,"Sozio, Inc.",RD,Piscataway,NJ,9/19/2023,14,10,2,International Chemical Workers Union Council,Stipulated,,LOSS,9/27/2023,Certification of Results,,,,,
"25, 33",25-RC-295115,,Starbucks Corporation,RC,Peoria,IL,6/13/2022,8,2,2,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Stipulated,,LOSS,9/15/2023,Certification of Results,,,,,
"25, 33",25-RC-296418,,"Oak Street Health MSO, LLC",RC,Indianapolis,IN,6/29/2022,25,9,8,SEIU Healthcare Illinois & Indiana,Stipulated,,LOSS,12/2/2022,Certification of Results,,,,,
"25, 33",25-RC-299921,,"Brad Manning Ford, Inc.",RC,DeKalb,IL,9/12/2022,14,11,2,"Mechanics' Local 701, International Association of Machinists and Aerospace Workers, AFL-CIO",Directed,,LOSS,10/17/2022,Certification of Results,,,,,
"25, 33",25-RC-300014,,"CPC Special Logistics East, LLC",RC,Rockford,IL,9/1/2022,19,10,5,International Brotherhood of Teamsters Local 325,Stipulated,,LOSS,10/12/2022,Certification of Results,,,,,
"25, 33",25-RC-301215,,"Lyons Fire and Safety, Inc.",RC,Danville,IN,9/14/2022,6,1,3,"Road Sprinkler Fitters, Local 669 of the United Association of Journeyman and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada",Stipulated,WON,,10/14/2022,Certific. of Representative,,,,,
"25, 33",25-RC-301261,,"Jones Lang Lasalle, Inc. d/b/a JLL",RC,Indianapolis,IN,9/9/2022,6,1,5,"International Union of Operating Engineers, Local 399",Stipulated,WON,,10/12/2022,Certific. of Representative,,,,,
